,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
1292,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,4,0,0,0,2,3,6,3,2,10,2,0,0.0,0.0,53358573.6002109,0.0,58724078.37856427,0.0032283661138802714,32849061.76758905,0.0,96767921.20487039,0.0,478900000.0,110.39674032995919
1293,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,3,0,4,3,1,0,1,0,0,0,0,0,3,8,2,0,96223098.04916811,0.0,89089885.68378368,0.0006085277538853892,9788801.73708843,0.0009867110909041969,109987274.19270074,0.0025963403503029736,84546876.76859967,0.0,400400000.0,4136.170960343944
1294,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,2,0,1,5,0,2,2,1,0,1,7,0,1,9,2,3,88511693.9986257,0.0,94185717.54157647,0.00037054826983236875,41292219.28177295,0.0,22258486.725668453,0.0,165761546.17564824,0.002035731133869428,213300000.0,873.6673815357436
1295,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,7,0,1,6,5,9,3,0,4,0,4,9,0,7,103162272.08375776,0.0,197608043.35799912,0.000864717912414295,73351466.17382371,0.0,21266849.920861118,1.454635722795954e-05,116225362.97154607,0.00017125594529942973,242400000.0,523.4396571951927
1296,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,5,1,0,7,3,0,0,0,7,8,4,0,83497824.69174261,0.0,104651657.86617124,0.0,64835987.44502628,0.0,111696548.05525209,0.02065472520205352,92134101.91956422,0.0,236500000.0,0.0
1297,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,1,0,6,3,1,9,1,7,3,7,0,9,3,0,100714900.1874114,0.0,176323444.558819,0.0,115963632.18405104,0.0,32404256.981391493,0.0003075193980593558,178347099.62235966,0.0054350868273711226,30700000.0,2248.727838663047
1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,4,0,0,5,2,3,0,5,0,1,9,5,2,208208147.82531244,0.0,147163277.45222718,0.004700356738551658,67704102.39417745,0.002028677220313982,18545877.781152677,0.0,195249639.2368935,0.002493902613166734,0.0,4130.188419280956
1299,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,3,1,10,6,2,1,9,8,2,37255203.23710208,0.0,47842699.56310011,0.0,97225532.23215315,0.0,29826314.78444877,0.0,260167010.17841813,0.04019219573048662,115300000.0,0.0
1300,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,3,4,7,3,0,0,0,2,0,1,4,0,0,8,2,3,186991155.56034988,0.0,46211666.976287805,0.0024370610242679678,43878096.290305056,0.0,9695195.36216505,0.0,127018951.62226725,0.0,681100000.0,1198.2814677858967
1301,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,3,0,3,4,3,0,3,2,1,5,3,4,8,1,0,89068254.21950817,0.0,108083458.32956028,0.0,72729638.17053153,0.0,33753747.10973685,0.0,83913704.49150741,0.00040951237668812124,478900000.0,39.87018003114033
