,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
28,45604724.076235056,0.003030096254035711,130959589.71724916,0.005309623373069839,62731046.19055639,0.010869227661992682,41704940.58229576,0.0,44193513.54513965,0.0,704300000.0,5349.423591575061
29,1783509.704909232,0.0001812094680766306,82785604.5418424,0.0006924723049527294,39374857.13911338,0.010788810378859414,41704940.58229576,0.0,44193513.54513965,0.0,704300000.0,2538.134250126286
30,1030158311.787772,0.33736230574766335,66045103.44010488,0.0,80565267.4198265,0.0,23537919.412238494,0.0,140960766.70142764,0.0,0.0,7509.590659827962
31,72222705.9376919,0.0,464144298.15949804,0.14654976282454793,80565267.4198265,0.0,23537919.412238494,0.0,140960766.70142764,0.0,0.0,12790.290243329833
32,80620755.16284883,0.0026489723760398554,297574859.4546292,0.06904057457016234,80565267.4198265,0.0,23537919.412238494,0.0,140960766.70142764,0.0,0.0,5898.49601328327
33,72222705.9376919,0.0,87123405.85211587,0.010809019273202932,80565267.4198265,0.0,23537919.412238494,0.0,140960766.70142764,0.0,0.0,824.8595248321622
34,103001985.98955527,0.009605122863688675,114359060.88939124,0.01774353811187497,84601064.14739338,0.0032188157884873226,23537919.412238494,0.0,140960766.70142764,0.0,0.0,1764.093248559176
35,82800591.45151058,0.0026596860927822165,71457168.21548252,0.002070525768242436,81156205.30471551,0.0003807271444582046,23537919.412238494,0.0,140960766.70142764,0.0,0.0,248.55466404706704
36,770531844.1888752,0.16224872319138114,78484871.41324939,0.004207856980356839,80565267.4198265,0.0,24520471.17675558,0.00020406843886542353,140960766.70142764,0.0,0.0,3948.939099628486
37,2767058802.5153027,0.4829611023950483,160067567.10930878,0.023330914167408744,820741839.5289339,0.3375752942357481,23537919.412238494,0.0,140960766.70142764,0.0,0.0,25506.318376923467
38,960962940.9051827,0.1596683736932286,122069123.78047618,0.0223694256416367,80565267.4198265,0.0,23537919.412238494,0.0,140960766.70142764,0.0,0.0,5381.177647843149
39,299026396.9006892,0.05430378818527833,72005950.12866488,0.0031222767495153424,80565267.4198265,0.0,23537919.412238494,0.0,140960766.70142764,0.0,0.0,1426.2614584893365
40,110339568.22410196,0.0038392002713952163,100285254.69730356,0.0008604273789145576,72188361.17641588,0.0508327232907205,18081997.288140487,0.0,90595441.88119246,0.0,563500000.0,0.0
41,106293784.88118687,0.0,333306715.97728074,0.24947138885928896,52771009.1301844,0.0,18081997.288140487,0.0,90595441.88119246,0.0,563500000.0,0.0
42,106293784.88118687,0.0,166029321.1990629,0.06027447793400165,52771009.1301844,0.0,18081997.288140487,0.0,90595441.88119246,0.0,563500000.0,0.0
43,106293784.88118687,0.0,105620953.33318974,0.008466766181585594,52771009.1301844,0.0,18081997.288140487,0.0,90595441.88119246,0.0,563500000.0,0.0
44,106293784.88118687,0.0,114780752.0736875,0.01602276637500289,58911668.47336659,0.013259987705897282,18081997.288140487,0.0,90595441.88119246,0.0,563500000.0,0.0
45,106293784.88118687,0.0,99685318.93337613,0.0,53343275.89168218,0.0009985979186921284,18081997.288140487,0.0,90595441.88119246,0.0,563500000.0,0.0
